Media Time (seconds),Attention (%),Valence (%),Arousal (%)
14.204196,79.0,33.5,33.5
14.232029,79.0,33.5,33.5
14.260298,78.0,33.5,33.5
14.289864,77.0,33.5,32.99999999999999
14.316962,77.0,33.5,32.5
14.345344,76.0,33.5,32.5
14.37308,75.0,33.5,32.0
14.403883,75.0,33.5,32.0
14.436161,75.0,33.5,32.0
14.469109,74.0,33.5,32.0
14.5022,73.0,33.5,31.5
14.534833,73.0,33.5,32.0
14.565266,72.0,34.0,31.5
14.601114,72.0,34.0,31.5
14.631027,72.0,34.5,31.5
14.659526,71.0,34.5,31.5
14.689931,71.0,34.5,32.0
14.717202,71.0,34.5,32.0
14.745067,71.0,34.5,31.5
14.772885,70.0,35.0,31.5
14.801714,70.0,35.0,31.5
14.830004,69.0,35.0,31.5
14.855957,69.0,35.0,31.5
14.884274,69.0,35.5,31.5
14.910978,68.0,35.5,31.5
14.938086,68.0,35.5,31.5
14.968123,68.0,36.0,31.5
14.996599,68.0,36.0,32.0
15.022707,68.0,36.5,32.0
15.0495,68.0,36.5,32.0
15.077198,68.0,36.5,32.0
15.10462,68.0,36.5,32.5
15.132032,68.0,37.0,32.5
15.159176,68.0,37.0,32.5
15.186796,68.0,37.5,32.99999999999999
15.214765,69.0,37.5,32.99999999999999
15.240831,69.0,37.0,32.99999999999999
15.269883,69.0,37.0,33.5
15.300562,69.0,37.0,33.5
15.329488,70.0,37.0,33.5
15.357858,70.0,36.5,34.0
15.385624,70.0,36.5,34.0
15.412616,70.0,36.5,33.5
15.438769,70.0,36.5,33.5
15.465664,70.0,37.0,33.5
15.499112,70.0,37.0,32.99999999999999
15.526714,69.0,37.0,32.99999999999999
15.554867,69.0,37.0,32.99999999999999
15.581405,69.0,37.0,32.99999999999999
15.607709,69.0,37.0,32.99999999999999
15.63807,69.0,37.0,32.99999999999999
15.664208,69.0,36.5,32.99999999999999
15.691642,68.0,36.5,32.99999999999999
15.719955,68.0,36.5,32.99999999999999
15.749089,68.0,36.5,32.99999999999999
