Media Time (seconds),Attention (%),Valence (%),Arousal (%)
12.264737,96.0,36.0,40.5
12.293691,96.0,36.0,40.5
12.321951,96.0,36.5,41.0
12.352733,96.0,36.5,41.0
12.382483,97.0,36.5,41.0
12.410783,97.0,36.5,40.5
12.437796,97.0,36.5,40.5
12.465896,97.0,36.0,40.0
12.499035,96.0,36.5,40.0
12.533266,96.0,36.5,39.5
12.565807,96.0,36.5,39.0
12.59403,96.0,36.5,39.0
12.623889,95.0,36.5,39.0
12.653281,95.0,36.5,38.5
12.681996,95.0,36.5,38.5
12.710716,95.0,36.5,38.5
12.742082,95.0,36.5,38.5
12.774925,94.0,36.5,38.5
12.805198,94.0,36.5,38.0
12.839097,94.0,36.5,38.0
12.869945,93.0,36.5,37.5
12.901723,93.0,36.5,38.0
12.931242,93.0,36.5,38.0
12.9641,93.0,36.5,38.0
12.994575,93.0,36.5,38.5
13.027345,93.0,36.5,38.5
13.057974,93.0,36.5,38.5
13.089384,93.0,36.5,38.5
13.121383,93.0,36.5,38.5
13.14918,93.0,36.5,38.0
13.17669,93.0,36.0,38.0
13.206973,93.0,36.0,37.5
13.239377,92.0,36.0,37.5
13.271677,92.0,36.0,37.5
13.302217,92.0,36.0,37.5
13.335233,92.0,36.0,37.5
13.366778,92.0,36.0,38.0
13.39751,92.0,36.0,38.0
13.42962,92.0,36.0,38.0
13.461173,92.0,36.0,38.0
13.497721,92.0,35.5,38.0
13.526385,92.0,35.5,38.0
13.557016,92.0,35.5,38.5
13.588008,93.0,35.5,38.5
13.620057,93.0,35.0,39.0
13.650954,93.0,35.0,39.0
13.679761,94.0,35.0,39.5
13.709514,94.0,35.0,39.5
13.74062,94.0,35.0,40.0
13.770883,95.0,35.5,40.0
13.801601,95.0,35.5,40.0
13.832476,95.0,35.5,40.0
13.863057,95.0,35.5,40.0
13.895574,95.0,36.0,40.0
13.926927,96.0,36.0,40.5
13.958287,96.0,36.5,40.5
13.989005,96.0,36.5,41.0
14.021978,96.0,36.5,41.0
14.052509,96.0,36.5,41.5
14.083832,96.0,36.5,41.5
14.11424,97.0,36.5,42.0
14.145246,97.0,36.0,42.0
14.173744,97.0,36.0,42.0
14.202551,97.0,36.0,42.5
14.233287,97.0,35.5,43.0
14.263477,97.0,35.5,43.0
14.294293,98.0,35.5,43.0
14.324601,98.0,35.5,43.0
14.354239,98.0,36.0,43.0
14.383552,98.0,36.0,43.5
14.41226,98.0,35.5,43.5
14.442853,98.0,35.5,43.5
14.472727,98.0,35.5,43.0
14.50318,98.0,35.0,43.0
14.534683,98.0,35.0,43.0
14.563776,98.0,35.0,43.0
14.590196,98.0,34.5,42.5
14.619062,98.0,34.5,42.5
14.649612,99.0,34.5,42.5
14.67876,98.0,34.5,42.0
14.70887,99.0,34.5,42.0
14.737023,99.0,34.5,42.0
14.766034,99.0,34.5,42.0
14.794622,99.0,34.5,42.5
14.8234,99.0,34.5,42.5
14.852977,99.0,34.5,42.0
14.885453,98.0,34.5,42.0
14.913291,99.0,34.5,42.0
14.943212,99.0,34.5,42.0
14.971198,99.0,35.0,42.0
15.003307,99.0,35.0,42.5
15.031678,99.0,35.0,42.0
15.062569,99.0,35.0,42.0
15.0931,98.0,35.0,41.5
15.1236,98.0,35.0,41.5
15.154082,98.0,35.0,41.5
15.184403,98.0,35.0,41.5
15.212653,98.0,34.5,41.5
15.241753,98.0,34.5,41.0
15.276205,98.0,34.5,41.0
15.306375,98.0,34.0,41.5
15.337563,98.0,33.5,41.5
15.367078,99.0,33.5,42.0
15.397566,98.0,33.5,41.5
15.427772,98.0,33.5,41.5
15.457942,98.0,33.5,41.5
15.486342,98.0,33.5,41.0
15.514334,98.0,33.5,41.0
15.546138,98.0,33.5,40.5
15.572138,98.0,33.5,41.0
15.598835,98.0,33.5,40.5
15.626546,98.0,33.5,40.5
15.654726,98.0,32.99999999999999,41.0
15.682781,98.0,32.99999999999999,41.0
15.711018,98.0,32.99999999999999,41.0
15.741208,99.0,32.99999999999999,41.5
15.771133,99.0,32.99999999999999,42.0
15.808484,99.0,32.99999999999999,42.0
15.838009,99.0,32.99999999999999,43.0
15.867236,99.0,32.99999999999999,43.5
15.897827,99.0,32.99999999999999,43.5
15.92768,99.0,32.99999999999999,43.5
15.963136,99.0,32.5,43.5
15.992405,99.0,32.99999999999999,44.0
16.0249,99.0,32.5,44.5
16.0568,99.0,32.5,44.5
16.089477,99.0,32.99999999999999,44.0
16.122864,99.0,32.99999999999999,44.5
16.155491,99.0,32.99999999999999,44.0
16.187389,99.0,33.5,43.5
16.220918,99.0,33.5,43.0
16.252759,99.0,34.0,42.5
16.284269,98.0,34.5,42.0
16.314374,98.0,34.5,42.0
16.347888,98.0,35.0,41.5
16.384523,98.0,36.0,41.0
16.414652,98.0,36.0,41.0
16.444862,98.0,36.5,41.0
16.475112,98.0,36.5,41.0
16.504589,98.0,36.5,41.0
16.535369,98.0,36.5,41.5
16.566954,98.0,36.5,41.0
16.596782,98.0,36.5,41.0
16.627902,98.0,36.5,41.0
16.657461,98.0,36.5,41.0
16.687696,98.0,36.5,41.0
16.716535,98.0,36.5,41.0
16.746779,98.0,36.5,41.0
16.776316,98.0,36.5,41.0
16.80562,98.0,36.0,41.0
16.836565,98.0,36.0,41.0
16.867215,98.0,35.5,41.0
16.89858,98.0,35.5,41.0
16.92867,98.0,35.0,41.5
16.958499,98.0,35.0,41.0
16.988196,98.0,35.0,41.0
17.017403,98.0,34.5,41.0
17.047538,98.0,34.5,41.0
17.075435,98.0,34.5,40.5
17.103895,98.0,34.5,40.5
17.133177,98.0,34.0,41.0
17.160916,98.0,34.0,40.5
17.191859,98.0,34.5,40.5
17.22139,98.0,34.5,40.5
17.251323,98.0,34.5,40.5
17.277625,99.0,34.5,40.5
17.303418,98.0,34.5,40.5
17.330916,98.0,34.5,40.0
17.373708,98.0,34.5,40.0
17.422826,98.0,34.5,39.5
17.467678,98.0,34.5,40.0
17.506991,98.0,34.5,40.0
17.549257,98.0,34.5,40.0
17.592667,98.0,35.0,40.0
17.640021,99.0,35.5,40.0
17.683147,99.0,35.5,40.5
17.728138,99.0,36.0,41.0
17.770092,99.0,36.5,41.5
17.810459,99.0,37.5,42.0
17.857342,99.0,37.5,42.0
17.9023,99.0,37.5,42.5
17.944633,99.0,37.5,42.0
17.986949,99.0,37.0,42.0
18.030737,99.0,37.0,41.5
18.069674,99.0,36.5,42.0
18.106174,99.0,36.0,42.0
18.14125,99.0,35.5,42.0
18.177546,99.0,35.0,42.0
18.21441,99.0,34.5,42.5
18.252847,99.0,34.5,42.5
18.289137,99.0,34.5,43.0
18.323955,99.0,34.5,42.5
18.35213,99.0,34.5,43.0
18.379047,99.0,34.0,43.0
18.407585,99.0,34.0,43.0
18.436058,99.0,34.0,42.5
